            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         150.028          521238          306785          -51192         629.647         396.357         24.4556     3.14243e+06     1.31431e+06         -158714      0.00666208          5.8803
         150.041          521817          307236        -51191.3         631.003         396.127         24.0421     3.15664e+06      1.3037e+06         -171304       0.0130432         5.83845
         150.055          522335          307647          -51184         632.269         395.852         23.6585     3.16965e+06     1.29507e+06         -182624       0.0101165         5.75625
         150.069          522813          308002        -51176.7         633.446          395.54         23.3046     3.18124e+06     1.28775e+06         -192658       0.0108127         5.75749
         150.083          523253          308307        -51172.8         634.538         395.202          22.978     3.19182e+06     1.28137e+06         -201608      0.00563362         5.77459
         150.096          523654          308588        -51165.6         635.546         394.854         22.6803     3.20194e+06     1.27583e+06         -209681      0.00911409         5.83905
          150.11          524038          308847        -51159.3         636.478         394.511         22.4139     3.21148e+06     1.27069e+06         -217037       0.0149833         5.90018
         150.124          524401          309078        -51163.2         637.337         394.186         22.1823     3.22062e+06     1.26601e+06         -223686      0.00969267         5.95883
         150.138          524745          309288        -51170.5         638.123         393.888         21.9903     3.22992e+06     1.26183e+06         -229581        0.015503         6.01557
         150.152          525077          309487        -51178.8         638.842         393.629         21.8436     3.23953e+06     1.25809e+06         -234817       0.0127581          6.0699
         150.165          525387          309667        -51196.3         639.492         393.412         21.7411     3.24888e+06     1.25475e+06         -239225       0.0151068         6.13112
         150.179          525681          309826        -51221.4         640.078         393.241         21.6828     3.25786e+06     1.25184e+06         -242792       0.0210003          6.1968
         150.193          525950          309961        -51251.3         640.596         393.113         21.6662     3.26651e+06     1.24959e+06         -245148       0.0114382         6.24812
         150.207          526201          310075        -51286.3          641.05         393.027          21.686     3.27479e+06       1.248e+06         -246181       0.0142864         6.29555
          150.22          526441          310171        -51325.9         641.436         392.978          21.738      3.2826e+06     1.24712e+06         -245991       0.0105532         6.33939
         150.234          526663          310245        -51382.2          641.76         392.957         21.8146     3.28987e+06     1.24675e+06         -244548       0.0192393         6.38114
         150.248          526870          310309        -51447.5         642.028         392.958         21.9092     3.29696e+06     1.24646e+06         -242103       0.0120054         6.41791
         150.262          527073          310367        -51521.2         642.237         392.978         22.0155     3.30412e+06     1.24649e+06         -238980      0.00980683         6.44961
         150.275          527274          310415        -51609.1         642.394         393.019         22.1278      3.3111e+06     1.24661e+06         -235326       0.0172991         6.47546
         150.289          527470          310455        -51697.9         642.501         393.086         22.2446     3.31845e+06     1.24699e+06         -231268       0.0148961         6.49414
         150.303          527659          310493        -51797.9         642.553         393.179         22.3614      3.3257e+06     1.24722e+06         -226711       0.0148675          6.5053
         150.317          527839          310524        -51908.5         642.562           393.3         22.4741     3.33282e+06     1.24719e+06         -221806        0.015028         6.50552
         150.331          528022          310570        -52020.5         642.521         393.448         22.5819     3.34019e+06     1.24726e+06         -216437       0.0143673         6.53889
         150.344          528192          310611        -52139.6          642.44         393.627         22.6851     3.34728e+06      1.2474e+06         -210299       0.0161704         6.52808
         150.358          528346          310639        -52264.9         642.321         393.835         22.7832     3.35387e+06     1.24787e+06         -203019       0.0161667         6.55829
         150.372          528471          310638          -52393         642.164         394.066         22.8782     3.36043e+06     1.24882e+06         -193865        0.015333         6.56542
         150.386          528567          310595        -52534.5         641.969         394.316         22.9686     3.36667e+06     1.25026e+06         -182909      0.00984154         6.55573
         150.399          528601          310559        -52673.7         641.734          394.58         23.0629     3.37103e+06     1.25164e+06         -170236      0.00313939         6.57159
         150.413          528625          310487        -52812.1         641.459          394.85         23.1737     3.37421e+06     1.25464e+06         -156279       0.0104391         6.61323
         150.427          528593          310346        -52948.9         641.149          395.11         23.3059     3.37686e+06     1.25757e+06         -142066       0.0138229         6.63371
         150.441          528491          310212        -53062.5         640.801         395.357         23.4672     3.37707e+06     1.26025e+06         -128865       0.0130671         6.73004
         150.455          528373          310036        -53158.1         640.418         395.578         23.6698     3.37595e+06     1.26392e+06         -117777       0.0103786         6.76722
         150.468          528218          309809        -53238.8         640.008         395.757         23.9241     3.37331e+06     1.26746e+06         -109792       0.0157297         6.78464
         150.482          528033          309574        -53295.7         639.582         395.884         24.2383     3.36871e+06     1.27127e+06         -105395       0.0114426         6.79921
         150.496          527804          309329        -53314.6         639.142          395.95         24.6208     3.36193e+06     1.27557e+06         -104519      0.00449202         6.81064
          150.51          527543          309030        -53315.1         638.699         395.937         25.0739     3.35323e+06       1.281e+06         -106406      0.00996799         6.82098
         150.523          527230          308689        -53298.5         638.262         395.829         25.6001     3.34218e+06     1.28736e+06         -110449       0.0143596         6.82733
         150.537          526872          308317        -53266.1         637.837         395.613         26.1955     3.32891e+06     1.29487e+06         -115915      0.00896452         6.82759
         150.551          526464          307917        -53214.9         637.425         395.282         26.8573     3.31373e+06      1.3035e+06         -121830       0.0119791         6.83146
         150.565          526014          307477        -53155.1         637.028         394.826         27.5818     3.29718e+06      1.3131e+06         -127352       0.0118894          6.8227
         150.579          525525          307001        -53097.8         636.648          394.24         28.3649      3.2795e+06     1.32334e+06         -131829      0.00957916         6.81699
         150.592          525001          306504        -53037.8         636.286         393.528         29.2059     3.26101e+06     1.33412e+06         -134751       0.0115956         6.84914
         150.606          524439          305986        -52976.7         635.944         392.697         30.1032     3.24206e+06     1.34521e+06         -135918         0.01223         6.80655
          150.62          523843          305447        -52915.8         635.619         391.757         31.0505     3.22317e+06     1.35635e+06         -135067      0.00835344         6.76196
         150.634          523212          304881        -52855.7         635.311         390.721         32.0426     3.20431e+06     1.36725e+06         -132218        0.011838         6.70347
