a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg,uu_avg,uv_avg,uw_avg,vv_avg,vw_avg,ww_avg
1512.0,75.0,2672.953607014714,2304.0,76.80000000000001,7.710161907392382,4.130014981169714,-0.08377508595718951,1.3355122110028879,-0.03189855968922994,-0.04679566499442673,0.6648397926197809,0.046720641551695745,0.7767974005364321
1512.0,76.0,2672.953607014714,2304.0,77.80000000000001,7.705141211582142,4.140604415198511,-0.09186196047839235,1.3313375531651546,-0.03825756314486504,-0.053137168191550184,0.6670747325816196,0.04502960376439248,0.782324727281454
1512.0,77.0,2672.953607014714,2304.0,78.80000000000001,7.699732457415534,4.152376549552366,-0.10058289836633152,1.3194920454611316,-0.04153018399399529,-0.06152282448822708,0.6643644802132626,0.039916842439559556,0.788002096883704
1512.0,78.0,2672.953607014714,2304.0,79.80000000000001,7.694323703248925,4.1641486839062205,-0.10930383625427068,1.3076465377571083,-0.04480280484312553,-0.06990848078490398,0.6616542278449056,0.03480408111472663,0.7936794664859541
1512.0,79.0,2672.953607014714,2304.0,80.80000000000001,7.688914949082315,4.175920818260075,-0.11802477414220985,1.2958010300530853,-0.048075425692255785,-0.07829413708158088,0.6589439754765487,0.029691319789893714,0.7993568360882043
1512.0,80.0,2672.953607014714,2304.0,81.80000000000001,7.683506194915707,4.187692952613931,-0.126745712030149,1.283955522349062,-0.05134804654138603,-0.08667979337825778,0.6562337231081917,0.024578558465060792,0.8050342056904545
1512.0,81.0,2672.953607014714,2304.0,82.80000000000001,7.678097440749099,4.199465086967786,-0.13546664991808818,1.2721100146450388,-0.054620667390516284,-0.09506544967493467,0.6535234707398347,0.01946579714022787,0.8107115752927045
1512.0,82.0,2672.953607014714,2304.0,83.80000000000001,7.673374223788505,4.211010377281095,-0.14411827256772966,1.2609935854631624,-0.05745651704698584,-0.10361019965216954,0.651329082262792,0.014223535284172494,0.8165979095711537
1512.0,83.0,2672.953607014714,2304.0,84.80000000000001,7.674820841682054,4.220514071229499,-0.15214605807269174,1.2564388629806051,-0.05636142596950956,-0.113586792754426,0.6537774688075759,0.007815768647115143,0.8243649259353948
1512.0,84.0,2672.953607014714,2304.0,85.80000000000001,7.676267459575602,4.230017765177903,-0.16017384357765382,1.2518841404980479,-0.05526633489203328,-0.12356338585668245,0.6562258553523599,0.001408002010057795,0.8321319422996358
1512.0,85.0,2672.953607014714,2304.0,86.80000000000001,7.677714077469149,4.2395214591263075,-0.1682016290826159,1.2473294180154904,-0.054171243814557,-0.13353997895893888,0.658674241897144,-0.0049997646269995515,0.839898958663877
1512.0,86.0,2672.953607014714,2304.0,87.80000000000001,7.6791606953626985,4.249025153074712,-0.176229414587578,1.242774695532933,-0.05307615273708072,-0.14351657206119536,0.6611226284419279,-0.011407531264056898,0.8476659750281181
1512.0,87.0,2672.953607014714,2304.0,88.80000000000001,7.680607313256247,4.258528847023116,-0.1842572000925401,1.2382199730503758,-0.05198106165960444,-0.1534931651634518,0.6635710149867119,-0.017815297901114246,0.8554329913923592
1512.0,88.0,2672.953607014714,2304.0,89.80000000000001,7.682053931149794,4.26803254097152,-0.19228498559750218,1.2336652505678187,-0.05088597058212817,-0.16346975826570825,0.666019401531496,-0.024223064538171593,0.8632000077566002
1512.0,89.0,2672.953607014714,2304.0,90.80000000000001,7.689575218302257,4.273524901368078,-0.19748383167002984,1.2320028023459866,-0.05421732182405657,-0.1718909304902461,0.6734959937487979,-0.029082532729094796,0.873428514200511
1512.0,90.0,2672.953607014714,2304.0,91.80000000000001,7.698615172769446,4.2780144283766735,-0.2019754428844488,1.2310634226893356,-0.058655283645836165,-0.17992324749535424,0.6822296373842294,-0.03355492630848445,0.8842723931643393
1512.0,91.0,2672.953607014714,2304.0,92.80000000000001,7.707655127236636,4.28250395538527,-0.20646705409886779,1.2301240430326847,-0.06309324546761576,-0.1879555645004624,0.6909632810196609,-0.03802731988787411,0.8951162721281674
